#
#
# US Geological Survey
# retrieved: 2018-04-04 18:42:47 -04:00	(vaas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	271632099165701	TD-69-46-902	GW	29.2757916	-99.2828185	S	NAD83				13080003
USGS	272317098490001	YZ-84-34-806	GW	27.38805556	-98.8166667	S	NAD83	 750	  2	NGVD29	12110206
USGS	272337098495501	YZ-84-34-807	GW	27.3936111	-98.8319444	S	NAD83	 782	  2	NGVD29	12110206
USGS	272349098585001	YZ-84-33-703	GW	27.39694444	-98.9805556	S	NAD83	 885	  5	NGVD29	12110206
USGS	272352098585101	YZ-84-33-707	GW	27.39808497	-98.981137	S	NAD83	 890	  5	NGVD29	12110206
USGS	272356098584701	YZ-84-33-705	GW	27.39888889	-98.9797222	S	NAD83	 889	  5	NGVD29	12110206
USGS	272356098585101	YZ-84-33-702	GW	27.39888889	-98.9808333	S	NAD83	 892	  5	NGVD29	12110206
USGS	272401098585101	YZ-84-33-706	GW	27.40027778	-98.9808333	S	NAD83	 890	  5	NGVD29	12110206
USGS	272407099252801	YZ-85-37-801	GW	27.40194444	-99.4244444	S	NAD83	 505	  3	NGVD29	13080002
USGS	272529098501601	YZ-84-34-414	GW	27.4247222	-98.8377778	S	NAD83	 780	  5	NGVD29	12110206
USGS	272540098501301	YZ-84-34-405	GW	27.42777778	-98.8369444	S	NAD83	 773	  5	NGVD29	12110206
USGS	272540098502801	YZ-84-34-402	GW	27.42777778	-98.8411111	S	NAD83	 776	  5	NGVD29	12110206
USGS	272550098501601	YZ-84-34-406	GW	27.4308658	-98.8380773	S	NAD83	 769	  5	NGVD29	12110206
USGS	272636098531601	YZ-84-33-602	GW	27.44364175	-98.8880784	S	NAD83	 812	  2	NGVD29	12110206
USGS	272710099242401	YZ-85-37-603	GW	27.45277778	-99.4066667	S	NAD83	 642	  2	NGVD29	13080002
USGS	272726099010001	YZ-85-40-601	GW	27.45752653	-99.0169706	S	NAD83	 695	  5	NGVD29	13080003
USGS	272749099100701	YZ-85-39-201	GW	27.463911	-99.1689198	S	NAD83	 570	  5	NGVD29	13080003
USGS	272801098571901	YZ-84-33-203	GW	27.46694444	-98.9552778	S	NAD83	 847	  5	NGVD29	12110206
USGS	272803098582001	YZ-84-33-103	GW	27.4675	-98.9722222	S	NAD83	 857	  5	NAVD88	12110206
